id,category,app,evidence_url
1,CRM & Sales,Salesforce,https://developer.salesforce.com/docs/platform/api-rest/guide/quickstart.html
2,CRM & Sales,HubSpot,https://developers.hubspot.com/docs/api/overview
3,CRM & Sales,Pipedrive,https://developers.pipedrive.com/docs/api/v1/
4,CRM & Sales,Attio,https://docs.attio.com/
5,CRM & Sales,Twenty,https://docs.twenty.com/
6,CRM & Sales,Podio,https://developers.podio.com/authentication
7,CRM & Sales,Zoho CRM,https://www.zoho.com/crm/developer/docs/api/v8/
8,CRM & Sales,Close,https://developer.close.com/api/overview/api-key-authentication
9,CRM & Sales,Copper,https://developer.copper.com/introduction/authentication.html
10,CRM & Sales,DealCloud,https://api.docs.dealcloud.com/
11,Support & Helpdesk,Zendesk,https://developer.zendesk.com/documentation/authentication/
12,Support & Helpdesk,Intercom,https://developers.intercom.com/docs/build-an-integration/learn-more/authentication
13,Support & Helpdesk,Freshdesk,https://developers.freshdesk.com/api/
14,Support & Helpdesk,Front,https://dev.frontapp.com/docs/authentication
15,Support & Helpdesk,Pylon,https://docs.usepylon.com/
16,Support & Helpdesk,LiveAgent,https://www.liveagent.com/api/
17,Support & Helpdesk,Plain,https://www.plain.com/docs
18,Support & Helpdesk,Help Scout,https://developer.helpscout.com/
19,Support & Helpdesk,Gorgias,https://developers.gorgias.com/
20,Support & Helpdesk,Gladly,https://developer.gladly.com/
21,Communications,Slack,https://api.slack.com/authentication
22,Communications,Twilio,https://www.twilio.com/docs/usage/api
23,Communications,Zoho Cliq,https://www.zoho.com/cliq/help/restapi/
24,Communications,Lark,https://open.larksuite.com/document/uAjLw4CM/ukTMukTMukTM/
25,Communications,Pumble,https://pumble.com/
26,Communications,Discord,https://discord.com/developers/docs/topics/oauth2
27,Communications,Telegram,https://core.telegram.org/bots/api
28,Communications,WhatsApp Business,https://developers.facebook.com/docs/whatsapp/cloud-api/
29,Communications,Aircall,https://developer.aircall.io/docs/authentication
30,Communications,Vonage,https://developer.vonage.com/en/getting-started/concepts/authentication
31,Marketing & Ads,Google Ads,https://developers.google.com/google-ads/api/rest/auth
32,Marketing & Ads,Meta Ads,https://developers.facebook.com/docs/marketing-apis/
33,Marketing & Ads,LinkedIn Ads,https://learn.microsoft.com/linkedin/marketing/
34,Marketing & Ads,GoHighLevel,https://marketplace.gohighlevel.com/docs/Authorization/OAuth2.0/
35,Marketing & Ads,Mailchimp,https://mailchimp.com/developer/marketing/guides/how-to-use-oauth2/
36,Marketing & Ads,Klaviyo,https://developers.klaviyo.com/en/reference/api_overview
37,Marketing & Ads,systeme.io,https://systeme.io/
38,Marketing & Ads,Pinterest,https://developers.pinterest.com/docs/reference/
39,Marketing & Ads,Threads,https://developers.facebook.com/docs/threads/
40,Marketing & Ads,SendGrid,https://www.twilio.com/docs/sendgrid/for-developers/sending-email/authentication
41,Ecommerce,Shopify,https://shopify.dev/docs/apps/build/authentication-authorization
42,Ecommerce,WooCommerce,https://woocommerce.com/document/woocommerce-rest-api/
43,Ecommerce,BigCommerce,https://developer.bigcommerce.com/docs/start/authentication
44,Ecommerce,Salesforce Commerce Cloud,https://developer.salesforce.com/docs/commerce/
45,Ecommerce,Magento / Adobe Commerce,https://developer.adobe.com/commerce/webapi/rest/
46,Ecommerce,Squarespace,https://developers.squarespace.com/
47,Ecommerce,Ecwid,https://api-docs.ecwid.com/
48,Ecommerce,Gumroad,https://gumroad.com/api
49,Ecommerce,Amazon Selling Partner API,https://developer-docs.amazon.com/sp-api/
50,Ecommerce,fanbasis,https://fanbasis.com/
51,Data / SEO / Scraping,DataForSEO,https://docs.dataforseo.com/v3/auth/
52,Data / SEO / Scraping,SE Ranking,https://seranking.com/api/
53,Data / SEO / Scraping,Ahrefs,https://ahrefs.com/api
54,Data / SEO / Scraping,MrScraper,https://docs.mrscraper.com/
55,Data / SEO / Scraping,Apify,https://docs.apify.com/api/v2
56,Data / SEO / Scraping,Firecrawl,https://docs.firecrawl.dev/
57,Data / SEO / Scraping,Bright Data,https://docs.brightdata.com/
58,Data / SEO / Scraping,Sherlock,https://github.com/sherlock-project/sherlock
